2013-Nov-25;15:50:43.354260;Start distance log
2013-Nov-25;15:50:43.354260;Track Description:;Track;trackID;_;__;___;Expected;expectDistance;expectAngle;Val;distance;____;velocity;acceleration;ttc;decelerationToStop;probability;ThreatLevel;Ch.0;Ch.1;Ch.2;Ch.3;Ch.4;Ch.5;Ch.6;
2013-Nov-25;15:50:43.354260;Distance Description:;Dist;_;__;Channel;DetectionID;Expected;expectDistance;expectAngle;Val;distance;intensity;velocity;acceletation;ttc;decelerationToStop;probability;ThreatLevel
2013-Nov-25;15:50:43.363260; ;Track;977; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.363260; ;Track;978; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;2;0;0;0;0;
2013-Nov-25;15:50:43.373261; ;Track;979; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.373261; ;Track;980; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;2;0;0;0;0;
2013-Nov-25;15:50:43.383262; ;Track;981; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.383262; ;Track;982; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;2;0;0;0;0;
2013-Nov-25;15:50:43.393262; ;Track;983; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.393262; ;Track;984; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;2;0;0;0;0;
2013-Nov-25;15:50:43.403263; ;Track;985; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.403263; ;Track;986; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;2;0;0;0;0;
2013-Nov-25;15:50:43.413263; ;Track;987; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.413263; ;Track;988; ; ; ;Expected;0.00;0.0;Val;6.00; ;19.5;0.0;0.31;-63.4;99;0;0;0;2;0;0;0;0;
